x,y
299,387
299,389
302,392
302,393
301,394
290,394
289,395
267,395
266,396
265,396
264,397
253,397
252,398
251,398
249,400
247,400
246,401
244,401
243,402
241,402
239,404
236,404
235,405
231,405
230,406
229,406
227,408
225,408
224,409
219,409
218,410
217,410
214,413
214,414
213,415
213,416
209,420
206,420
205,421
203,421
202,422
200,422
199,423
197,423
195,425
193,425
192,426
191,426
190,427
189,427
187,429
186,429
182,433
181,433
180,434
178,434
177,435
175,435
174,436
173,436
170,439
169,439
162,446
161,446
158,449
158,450
156,452
155,452
154,453
152,453
151,454
150,454
149,455
147,455
146,456
145,456
144,457
143,457
142,458
141,458
140,459
140,460
139,461
139,463
137,465
136,465
135,466
134,466
130,470
130,471
129,472
129,474
128,475
127,475
122,480
121,480
118,483
117,483
115,485
115,486
114,487
114,488
111,491
111,492
110,493
110,495
109,496
109,499
108,500
102,494
96,494
95,495
94,495
91,498
90,498
89,499
88,499
80,507
79,507
78,508
77,508
76,509
77,508
78,508
79,507
80,507
88,499
89,499
90,498
91,498
94,495
95,495
96,494
102,494
108,500
108,535
91,552
90,552
84,558
84,560
83,561
83,563
82,564
82,566
79,569
78,569
77,570
72,570
71,569
72,570
77,570
78,569
79,569
82,566
82,564
83,563
83,561
84,560
84,558
90,552
91,552
107,536
109,536
119,546
120,546
121,547
123,547
124,548
125,548
126,549
127,549
129,551
129,552
132,555
133,555
134,556
135,556
136,557
137,557
139,559
140,559
141,560
143,560
144,561
147,561
148,562
150,562
151,563
152,563
153,564
155,564
156,565
157,565
158,566
159,566
160,567
161,567
163,569
164,569
165,570
166,570
168,572
170,572
171,573
174,573
175,574
177,574
178,575
180,575
181,576
184,576
185,577
186,577
187,578
189,578
190,579
191,579
192,580
192,581
194,583
194,588
195,589
195,597
196,598
196,600
197,601
197,603
198,604
198,605
199,606
198,605
198,604
197,603
197,601
196,600
196,598
195,597
195,589
194,588
194,584
195,583
198,583
199,584
207,584
208,585
211,585
212,584
234,584
235,583
256,583
257,582
269,582
270,581
279,581
280,580
283,580
284,579
292,579
293,578
300,578
301,577
309,577
310,576
312,576
313,575
322,575
323,574
329,574
330,573
333,573
334,572
338,572
339,571
342,571
343,570
351,570
352,569
358,569
359,568
363,568
364,567
372,567
373,566
374,566
378,562
380,562
381,561
382,561
383,560
384,560
385,559
387,559
388,558
390,558
391,557
392,557
393,556
395,556
396,555
400,555
401,554
405,554
406,553
411,553
412,552
419,552
420,551
429,551
430,550
431,550
432,549
434,549
435,548
440,548
441,547
447,547
448,546
451,546
461,556
462,556
461,556
451,546
452,545
452,544
455,541
455,540
457,538
457,537
459,535
460,535
461,534
464,534
465,533
470,533
471,532
472,532
473,531
479,531
480,530
486,530
487,529
488,529
489,528
490,528
491,527
500,527
501,526
508,526
509,525
513,525
515,527
515,528
516,529
516,544
519,547
533,547
534,548
536,548
537,549
539,549
540,550
543,550
555,538
555,537
556,536
556,535
557,534
557,533
558,532
558,531
561,528
562,528
563,527
564,527
566,525
567,525
568,524
569,524
572,521
573,521
574,520
577,520
578,519
582,519
583,518
588,518
589,517
599,517
600,516
616,516
617,515
634,515
635,516
633,518
633,520
629,524
629,525
627,527
627,528
626,529
627,528
627,527
629,525
629,524
633,520
633,518
635,516
641,516
642,515
672,515
673,514
674,515
695,515
696,516
710,516
711,517
719,517
720,518
726,518
727,519
734,519
735,520
741,520
742,521
744,521
745,522
751,522
752,523
756,523
757,524
759,524
760,525
763,525
767,529
767,530
768,531
768,532
769,533
769,534
771,536
771,537
776,542
753,565
751,565
750,566
743,566
742,567
741,567
740,568
738,568
737,569
736,569
735,570
734,570
733,571
732,571
731,572
730,572
727,575
727,576
725,578
717,578
716,577
717,578
726,578
727,579
726,578
726,577
727,576
727,575
730,572
731,572
732,571
733,571
734,570
735,570
736,569
737,569
738,568
740,568
741,567
742,567
743,566
750,566
751,565
753,565
776,542
778,542
779,543
780,543
782,545
782,547
781,548
781,550
780,551
780,553
779,554
779,555
778,556
778,558
777,559
777,560
776,561
776,563
775,564
775,565
774,566
774,567
773,568
773,569
772,570
772,571
771,572
771,574
770,575
770,577
769,578
769,580
768,581
768,582
766,584
766,585
765,586
765,587
764,588
764,589
763,590
763,591
762,592
762,593
761,594
761,595
760,596
760,597
757,600
754,600
753,601
750,601
749,602
747,602
745,604
744,604
743,605
743,606
742,607
742,608
740,610
737,610
736,611
731,611
730,612
728,612
726,614
725,614
723,616
722,616
721,617
718,617
716,619
714,619
713,620
710,620
709,621
704,621
703,622
692,622
691,623
674,623
673,624
666,624
665,625
658,625
657,626
649,626
648,627
646,627
645,628
641,628
640,629
633,629
632,630
606,630
605,631
604,631
603,632
597,632
596,633
595,633
591,637
591,638
590,639
590,641
588,643
587,643
586,644
583,644
582,645
581,645
577,649
577,651
576,652
576,656
575,657
575,658
574,659
574,661
573,662
573,663
572,664
572,665
571,666
571,667
570,668
570,670
569,671
569,672
568,673
568,674
567,675
567,676
566,677
566,678
563,681
562,681
561,682
559,682
558,683
556,683
555,684
554,684
552,686
551,686
550,687
549,687
548,688
546,688
545,689
544,689
541,692
541,695
540,696
540,699
539,700
539,702
538,703
538,704
537,705
537,706
536,707
536,708
535,709
535,710
534,711
534,716
533,717
533,718
532,719
532,720
531,721
531,722
530,723
530,724
526,728
526,729
525,730
525,731
524,732
524,734
523,735
523,736
521,738
521,739
517,743
516,743
515,744
514,744
510,748
510,750
509,751
509,755
508,756
508,760
507,761
507,765
506,766
506,771
505,772
505,776
504,777
504,782
503,783
503,786
502,787
502,798
501,799
501,805
499,807
498,807
497,808
496,808
495,809
493,809
492,810
491,810
490,811
489,811
486,814
478,814
477,815
474,815
473,816
472,816
471,817
470,817
469,818
459,818
458,819
454,819
